,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
1003,18.51919819433839,0.24366031947998013,-0.024895835133141895,13843,GK,GK
1004,-2.2519453506938523,-1.5275718745704756,0.45034385305946206,203544,LB,DEF
1005,-3.0018962264747695,2.7100192635241083,-1.1110298369301634,184747,ST,ATK
1006,-2.2997271065882616,-2.1751727203901567,-0.4467564536228355,193278,LB,DEF
1007,-2.3137293565146084,-0.05979171321466649,0.7388339253222902,166847,"CM, CDM, CB",DEF
1008,-0.7715152643117338,-0.6779361269572554,2.142286232147906,135061,CM,MID
1009,-1.1661391920370017,1.998884245759934,-0.5419938960401752,10899,ST,ATK
1010,-1.9401928816952443,-1.494321433320264,-0.5057682027489595,181457,CB,DEF
1011,-1.03626288923834,-2.7801856595022905,-1.762426496817049,189881,"CB, RB",DEF
1012,-2.405952362931229,-0.36043626345752144,0.6495159474592191,166758,CM,MID
1013,-1.2899334363150814,-2.202392463140746,0.24841860757968962,178187,"CB, RWB, LWB",DEF
1014,23.63490866444185,0.1706558410958817,0.4719548548769884,1219,GK,GK
1015,-2.0791959440981866,1.7388240813351221,-0.3210214738782269,205601,"LW, CAM, RW",ATK
1016,-1.5590719362427272,2.8053878065990485,-1.2037066619228034,186525,ST,ATK
1017,-3.5567371943076034,3.085009280017949,-2.292485260167449,184111,ST,ATK
1018,-2.5431382569177634,1.4946427751305627,0.8701151081024799,180255,"LM, CAM, RM",MID
1019,-2.413338992696317,1.578255168746766,0.10374928221529248,193098,"LM, RM",MID
1020,-3.256425082799927,1.3642514505571652,1.5948370070506666,190460,"CAM, LM",MID
1021,-2.387852036889693,-0.9510389076117911,-0.3122172477265001,171087,"LB, CB",DEF
1022,-1.4466457304334843,-1.155712906226499,0.5332188986425626,139313,"LWB, LB, LM",MID
1023,-2.1525440995215748,0.114823866964113,0.9210152723210027,158856,"CM, CDM, CAM",MID
1024,-2.2088948353870097,0.7336890668100429,2.432922487810551,104476,"CM, CDM",MID
1025,-2.333815013235643,-1.977377236954956,-0.17405104627902832,209846,LB,DEF
1026,-1.6934702647956796,-1.4168682198361537,-1.4227773545488387,190324,CB,DEF
1027,-1.8596707056673145,1.7885516494248626,-0.08324225200544808,172297,"RW, RM, CAM, ST",ATK
1028,-3.279991396322547,-0.34021887039720966,-0.06377010234167697,149184,RB,DEF
1029,22.34127387280294,0.1876182697624905,-0.20428425546067117,215417,GK,GK
1030,-1.3748339665015952,2.788386308638062,-2.4037978055633196,135456,"ST, CF",ATK
1031,-2.2553340042472403,2.2088666561552666,-1.400256312030155,177639,ST,ATK
1032,21.466689828909654,0.2601038980504489,0.428176493039652,159265,GK,GK
1033,-2.5083995350082215,1.7703024467177293,-1.5275866771211126,193169,"CAM, ST",ATK
1034,-2.56222159667324,1.1742174947194672,1.4836607360275558,184285,"RM, CAM, CM, CDM",MID
1035,-2.8454228687216867,-3.2449081217603366,-1.1437178681140028,121185,"CB, LB",DEF
1036,-2.121380504076876,-2.004856251795403,0.6355916324074538,144021,RB,DEF
1037,-1.2234055504499606,-2.9012749332307353,-2.2984752692513677,183640,CB,DEF
1038,-1.9685536261709748,-2.0250519128198765,-1.2054368580767556,138911,CB,DEF
1039,-1.8344324506355643,-0.8979259948893225,1.4487361263873348,186912,"RB, CDM",MID
1040,-2.45731382350382,1.0835940445456989,1.5213883235735806,226559,CM,MID
1041,-1.8816408413097825,0.34009667230237056,-0.11547505051325034,213571,LM,MID
1042,-2.3356548130766206,1.5006108273304997,-0.023691699087372634,200953,"RM, RW",ATK
1043,-1.5008125232272993,-2.4130339892234156,-1.4342535063477004,156443,"CB, RB",DEF
1044,-2.8240141771976144,-1.2125238298941843,1.1331614500049167,204024,"CDM, CM",MID
1045,-1.75408689056932,-0.7090014224718951,1.5863990555210203,194089,"CM, RM, CDM",MID
1046,-2.4526755813920436,-2.372508704463899,-1.2639738729083905,156975,CB,DEF
1047,-3.402942819760717,-1.0523425395009556,0.41866462012287914,150590,RB,DEF
1048,-2.5399823795346412,-2.7191484425035353,-0.2010997295467998,204338,CB,DEF
1049,-2.314980358264315,0.4730991036060018,0.4517438916121594,137359,"CM, CAM, CB, CDM",MID
1050,-2.676981049096746,-1.4402527779394656,0.19420697235992304,198856,"CDM, RB, CB",DEF
1051,-1.6683671286810866,0.5905790303664419,1.4076726988196497,222109,CM,MID
1052,17.637511482523678,-0.2134031742589216,0.006248481519335402,211011,GK,GK
1053,-2.6133427284884876,-1.6399459971551402,-0.2083441666411172,199382,"RB, RM",MID
1054,21.08145947074673,-0.32693781975037284,-1.1207723569499188,115888,GK,GK
1055,-2.049289347671214,1.1617593055522093,-1.207914194837271,211673,"RM, LM",MID
1056,-1.137520714505697,0.5789165465952959,-1.4147075490822685,204282,ST,ATK
1057,-1.871705179944334,1.8662816811882765,0.6157642262540709,167841,"RM, ST",ATK
1058,-1.637704734943933,2.5165775127331482,-1.5125929390828354,186939,"ST, CF, LM",MID
1059,-0.9550579636740048,-1.9308139859460356,-0.3531612396646131,195436,"RB, LB",DEF
1060,-1.4405629323895626,-0.5082042029861445,-0.22156493015337045,199891,"CB, RB, CM",MID
1061,-2.022265732638283,-1.7031926164192521,-1.9760543453095014,46590,CB,DEF
1062,-2.680290847011776,0.239656116505838,1.7323064476336665,210401,"CM, CDM, CAM",MID
1063,-2.47323914025987,2.0660818380483494,0.17694736034089978,165889,"ST, CAM",MID
1064,-2.5440808797128334,0.7626744715182354,0.6652850579975078,202123,"CM, CAM, CDM, CF",ATK
1065,-2.331158595511679,1.949977382192484,-1.4223904631969801,207711,"ST, RW",ATK
1066,-3.8350481614948473,0.9995224092585717,0.43088216979072286,155355,"RM, LM, CAM",MID
1067,-1.8149402766749927,-1.5180670932616052,-0.6970503198590877,183129,CB,DEF
