,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,player_positions_general
6233,"RB, CB, LB",198023,-0.05242648441140934,0.5246372323740859,-0.20885769326417714,-0.3936877718025949,-0.5545914444896888,-0.19106443027248804,0.5117732505668667,0.2245965259935934,0.23646341844282126,-0.041601712157606004,-0.2544504252622863,-0.0081385441415643,-0.13314737607720753,0.06305418986585071,DEF
6234,ST,164471,0.20063761593796325,-0.280012813094663,-0.24285822357765596,-0.7742536355087815,0.04888665295660968,0.17092808711243593,0.37167770820100143,-0.6767502901782417,-0.42487948492005306,-0.1769456687667391,-0.050858257414425435,-0.12818242521947984,-0.008509780003285432,0.1105153424126132,ATK
6235,ST,223875,-0.40835587888338437,0.331075251553131,-0.7310335870499842,-0.2504109555193621,0.9056265059155467,-0.40334173406740387,0.33691099900865895,-0.585281853153304,-0.2745283503208478,-0.07959609744159356,-0.14011853334957566,-0.012811297812758296,-0.07634068245561662,-0.031402110022297855,ATK
6236,"LW, RW",184267,-0.49651273427062476,-0.36329172918401564,-0.16734510449223788,-1.1557105615737397,0.03196642471429035,-0.5758949612771479,0.4115735323347839,-0.09466646388244804,0.1601775497890241,0.3280754019671677,-0.1704653956644773,0.0840029865256898,0.12750912888009178,-0.13990627676586287,ATK
6237,"CDM, CM",201917,-0.2823396672751714,0.94294676260891,-0.7341745826145258,0.18866969342961024,0.4739434621628777,-0.3970197933373535,0.43260917421451445,-0.1079636669720313,-0.031016678633534845,-0.13645321051137216,-0.12576362617728576,0.0811629092757725,-0.1883052694933945,0.20311022223082803,MID
6238,GK,204842,2.359608283779938,-0.5588697484231874,-0.09421910751214155,0.2645669011284336,0.14231284191625473,-0.13816122070390977,0.4382624783730345,-0.0681407890935848,0.002444302767518564,0.016122821710779268,0.2060461889580042,-0.043611469246940246,-0.06278136303275803,-0.13923519443006488,GK
6239,ST,221274,0.37708449523081816,-0.5006929085776287,-0.17283848734018195,-0.7742520560881799,0.12145351010405729,-0.11489035716495362,0.4570728986392986,-0.038687854380099355,-0.5318911251124893,-0.04748832150934906,-0.22584679620163214,0.018992291797737093,-0.009587046792916266,-0.13304273957283497,ATK
6240,CDM,224591,0.02202447930356526,0.7213718425778682,1.0882460221397379,-0.11367442655437221,-0.11241612917251001,0.05623990426466802,0.4562268607715711,-0.2596272068647764,0.13238638174196854,-0.010374077879597274,0.2304548488892809,0.04722207511468152,0.05441428631934616,0.04438620861035402,
6241,RM,137960,-1.0314057406443744,-0.6089103828079536,1.124208218881388,0.27946125990442494,-0.12857430188593347,-0.22193249291691342,0.4732568776797588,-0.14982569527875933,0.10714834912249625,0.15984888810905135,0.2932008970517597,0.0941535289163877,0.252612249490093,0.009157995926723604,MID
6242,"ST, CF",170353,-0.7047062645534481,-0.5653309893817817,-0.7490125677459509,0.7661548795995011,0.6571742498206946,-0.2027132692537106,0.3600875787854359,-0.6921728087746016,-0.38435166660250225,-0.21008579499752073,0.09981309683417705,-0.33642013838220197,0.11443936299312729,-0.03958217352257015,ATK
6243,"CDM, CM",187052,-0.31111726561998215,0.5231765307756411,-0.23660256416751535,-0.5672253045123251,-0.5078716010191021,-0.18643453580068511,0.44073945007429277,-0.2080059165812014,0.4560980897628303,0.0548132842738777,-0.08386434524965855,0.05092084040939509,-0.08949422908157338,-0.051822271595851115,MID
6244,CAM,224356,0.036700846478721266,-0.1298644871008357,-0.15247792424654358,-0.7784754184920207,-0.12150035719925228,-0.2766829998051678,0.49269619864253017,0.24456906392659364,-0.1991809853112199,0.2100981529493364,0.19571905758284322,-0.027208985317728335,0.14160651840370325,-0.06305171436983845,MID
6245,GK,177683,2.352360332530708,-0.6661038477208105,-0.09221462539722379,0.28245356421604134,0.18103490884567322,-0.5847158782815637,0.3876335474775824,-0.1714051377256649,0.6619631456194603,0.18760189354929654,-0.27114251741874446,0.007660737668001796,0.04671336414605039,0.18826639888041174,GK
6246,"LW, RW",189157,-0.7355790276797252,-1.0485114607115091,-0.2146461539568155,0.03871167500709271,-0.3562935009791486,-0.11087009248938727,0.44656036149388195,-0.30585171184846355,-0.07300383103961026,-0.12179315598212036,-0.21695114779664082,0.25217231054113687,-0.2453097148966126,0.14284022868231236,ATK
6247,"RM, CF, CAM",177282,-0.1086858591801775,-0.405986078107018,-0.15884342020135742,-0.9743381820581338,0.04276092182144152,-0.37743966818384017,0.46659263781688826,0.14406411307132794,-0.26654811893542724,0.15582111075382002,-0.2176519137739394,-0.196247519974204,0.16725657283302497,-0.16410720329176198,MID
6248,LM,208418,-0.9941532969075142,-1.2089481928724906,-0.18500851166833476,-0.19905302086133467,-0.26025278490012427,-0.33061919368086073,0.4334543633922393,-0.25436296985649953,0.053129637037016716,0.09499152362232244,-0.11462811135765673,0.1606157114872188,-0.009513519709834866,-0.15514709523533327,MID
6249,"CM, CDM",212245,-0.9981724487085925,-0.22968187877820673,1.0689827517517025,0.5329695666624477,-0.3607717406850756,-0.046590128436496285,0.4686275442600772,-0.324375056148637,0.2708667754977303,-0.06615334026305277,0.03778931524493962,0.12920540821622423,0.05162443087059128,0.15552353631138027,
6250,CB,230064,0.5868581990326195,0.3341707257443088,-0.7265093046748616,1.2616784994256858,0.4045408959721347,0.23558175472563156,0.5747405271119036,0.3478283442498989,-0.9115588232936097,0.8161529479148597,-0.0820530887972745,-0.17402539192155692,-0.008078455574786734,-0.09678391563509331,DEF
6251,"LW, RW",204444,0.07241815079017794,-0.13561758615547861,-0.19786236545329455,-0.7480886844387697,-0.08050628830838874,0.008241784829661685,0.42422902154582653,-0.3243869270400727,-0.2726251742477798,-0.09033497624538676,0.00557618228626775,0.16553982853033022,-0.42854979202874677,-0.043355510930748346,ATK
6252,ST,186723,0.0899814563568611,-0.39865246394166937,-0.2030809600838725,-0.8570290462370843,0.06708393644139753,-0.1194667707046714,0.4263169921698644,-0.23738719085501384,-0.36079517882099305,-0.07687838417788895,-0.3940760301579505,0.039890020396651446,0.01883261511732361,-0.026596762109655756,ATK
6253,"LW, ST, RW",190014,-0.9364225463402621,-0.8250377687833004,1.120585257195726,0.24860614998183264,-0.0027612547118947453,-0.20513186915974843,0.466821338620097,-0.2121390732692063,-0.06310204819017108,-0.004492058181760405,-0.15152006062872014,-0.003598056146866009,-0.08941367797161184,-0.18277710963978966,ATK
6254,"RM, CAM, ST",187925,-0.09966666984235635,-0.0757685051104564,1.1452917972788006,-0.6084161475721589,0.365302295257473,-0.20472890552726877,0.4520739452306745,-0.1110040361946809,-0.30756996147404303,0.1084276437671131,0.022105666456725438,0.03320586863367921,0.006070929671165478,-0.07234005970364614,ATK
