,Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
48,PCA-with-label_AggClustering_nc:18_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,18,complete,manhattan,0.24987499966033247
28,PCA-with-label_AggClustering_nc:18_link:complete_aff:l1,PCA-with-label,Agg_Clustering,18,complete,l1,0.24987499966033247
72,PCA-with-label_AggClustering_nc:6_link:average_aff:l1,PCA-with-label,Agg_Clustering,6,average,l1,0.24911864495937797
92,PCA-with-label_AggClustering_nc:6_link:average_aff:manhattan,PCA-with-label,Agg_Clustering,6,average,manhattan,0.24911864495937797
94,PCA-with-label_AggClustering_nc:10_link:average_aff:manhattan,PCA-with-label,Agg_Clustering,10,average,manhattan,0.2469608403248939
74,PCA-with-label_AggClustering_nc:10_link:average_aff:l1,PCA-with-label,Agg_Clustering,10,average,l1,0.2469608403248939
46,PCA-with-label_AggClustering_nc:14_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,14,complete,manhattan,0.24596087336709277
26,PCA-with-label_AggClustering_nc:14_link:complete_aff:l1,PCA-with-label,Agg_Clustering,14,complete,l1,0.24596087336709277
42,PCA-with-label_AggClustering_nc:6_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,6,complete,manhattan,0.2453478646854417
22,PCA-with-label_AggClustering_nc:6_link:complete_aff:l1,PCA-with-label,Agg_Clustering,6,complete,l1,0.2453478646854417
116,PCA-with-label_AggClustering_nc:14_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,14,single,euclidean,0.24384306113894497
136,PCA-with-label_AggClustering_nc:14_link:single_aff:l2,PCA-with-label,Agg_Clustering,14,single,l2,0.24384306113894497
135,PCA-with-label_AggClustering_nc:12_link:single_aff:l2,PCA-with-label,Agg_Clustering,12,single,l2,0.24107178602024823
115,PCA-with-label_AggClustering_nc:12_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,12,single,euclidean,0.24107178602024823
58,PCA-with-label_AggClustering_nc:18_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,18,complete,cosine,0.23868795301728346
97,PCA-with-label_AggClustering_nc:16_link:average_aff:manhattan,PCA-with-label,Agg_Clustering,16,average,manhattan,0.23857093187172543
77,PCA-with-label_AggClustering_nc:16_link:average_aff:l1,PCA-with-label,Agg_Clustering,16,average,l1,0.23857093187172543
147,PCA-with-label_AggClustering_nc:16_link:single_aff:manhattan,PCA-with-label,Agg_Clustering,16,single,manhattan,0.238137842712781
127,PCA-with-label_AggClustering_nc:16_link:single_aff:l1,PCA-with-label,Agg_Clustering,16,single,l1,0.238137842712781
63,PCA-with-label_AggClustering_nc:8_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,8,average,euclidean,0.23724370482658155
83,PCA-with-label_AggClustering_nc:8_link:average_aff:l2,PCA-with-label,Agg_Clustering,8,average,l2,0.23724370482658155
1,PCA-with-label_AggClustering_nc:4_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,4,ward,euclidean,0.23502890637079724
129,PCA-with-label_AggClustering_nc:20_link:single_aff:l1,PCA-with-label,Agg_Clustering,20,single,l1,0.23011553526186213
149,PCA-with-label_AggClustering_nc:20_link:single_aff:manhattan,PCA-with-label,Agg_Clustering,20,single,manhattan,0.23011553526186213
25,PCA-with-label_AggClustering_nc:12_link:complete_aff:l1,PCA-with-label,Agg_Clustering,12,complete,l1,0.2288044048026543
45,PCA-with-label_AggClustering_nc:12_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,12,complete,manhattan,0.2288044048026543
131,PCA-with-label_AggClustering_nc:4_link:single_aff:l2,PCA-with-label,Agg_Clustering,4,single,l2,0.2283624349594089
111,PCA-with-label_AggClustering_nc:4_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,4,single,euclidean,0.2283624349594089
148,PCA-with-label_AggClustering_nc:18_link:single_aff:manhattan,PCA-with-label,Agg_Clustering,18,single,manhattan,0.22751179005433544
128,PCA-with-label_AggClustering_nc:18_link:single_aff:l1,PCA-with-label,Agg_Clustering,18,single,l1,0.22751179005433544
122,PCA-with-label_AggClustering_nc:6_link:single_aff:l1,PCA-with-label,Agg_Clustering,6,single,l1,0.22556323107471465
